OID_,ORIG_FID,FID_1,POINT_X,POINT_Y
1,0,0,-124.211995,60
2,0,0,-124.211995,41.998462
3,0,0,-124.145862109256000,41.058354455796700
4,0,0,-124.326231560071000,40.611497140538500
5,0,0,-123.841653470559000,39.797833501209400
6,0,0,-123.620984934613000,38.830464910698900
7,0,0,-122.864958521934000,38.127490406952900
8,0,0,-122.704582073769000,37.894790585652000
9,0,0,-122.338279770740000,37.135208822073500
10,0,0,-121.930215877746000,36.638142100893000
11,0,0,-121.459740696332000,35.883869909287800
12,0,0,-120.890603952816000,35.240020023557900
13,0,0,-120.485737048014000,34.478616751703800
14,0,0,-119.445506297298000,34.357968393857200
15,0,0,-118.548716504340000,34.038533204434800
16,0,0,-117.894741298370000,33.597240805837400
17,0,0,-117.256877121112000,32.780420655079900
18,0,0,-117.123786,32.534365
19,0,0,-117.123786,26.70548